name,text,type,manaCost,convertedManaCost
Aesthetic Consultation,"Choose an artist. Exile the top six cards of your library, then reveal cards from the top of your library until you reveal a card with art by the chosen artist. Put that card in your hand and exile all other cards revealed this way.",Instant,{B},1
Aesthir Glider,"Flying
Aesthir Glider can't block.",Artifact Creature — Bird Construct,{3},3
Aether Adept,"When Aether Adept enters the battlefield, return target creature to its owner's hand.",Creature — Human Wizard,{1}{U}{U},3
Aether Barrier,"Whenever a player casts a creature spell, that player sacrifices a permanent unless they pay {1}.",Enchantment,{2}{U},3
Aether Burst,"Return up to X target creatures to their owners' hands, where X is one plus the number of cards named Aether Burst in all graveyards as you cast this spell.",Instant,{1}{U},2
Aether Charge,"Whenever a Beast enters the battlefield under your control, you may have it deal 4 damage to target opponent or planeswalker.",Enchantment,{4}{R},5
Aether Chaser,"First strike
When Aether Chaser enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Chaser attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.",Creature — Human Artificer,{1}{R},2
Aether Figment,"Kicker {3} (You may pay an additional {3} as you cast this spell.)
Aether Figment can't be blocked.
If Aether Figment was kicked, it enters the battlefield with two +1/+1 counters on it.",Creature — Illusion,{1}{U},2
Aether Flash,"Whenever a creature enters the battlefield, Aether Flash deals 2 damage to it.",Enchantment,{2}{R}{R},4
Aether Gale,Return six target nonland permanents to their owners' hands.,Sorcery,{3}{U}{U},5
Aether Gust,Choose target spell or permanent that's red or green. Its owner puts it on the top or bottom of their library.,Instant,{1}{U},2
Aether Herder,"When Aether Herder enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Herder attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.",Creature — Elf Artificer Druid,{3}{G},4
Aether Hub,"When Aether Hub enters the battlefield, you get {E} (an energy counter).
{T}: Add {C}.
{T}, Pay {E}: Add one mana of any color.",Land,,0
Aether Inspector,"Vigilance
When Aether Inspector enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Inspector attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.",Creature — Dwarf Artificer,{3}{W},4
Aether Meltdown,"Flash (You may cast this spell any time you could cast an instant.)
Enchant creature or Vehicle
When Aether Meltdown enters the battlefield, you get {E}{E} (two energy counters).
Enchanted permanent gets -4/-0.",Enchantment — Aura,{1}{U},2
Aether Membrane,"Defender; reach (This creature can block creatures with flying.)
Whenever Aether Membrane blocks a creature, return that creature to its owner's hand at end of combat.",Creature — Wall,{1}{R}{R},3
Aether Mutation,"Return target creature to its owner's hand. Create X 1/1 green Saproling creature tokens, where X is that creature's converted mana cost.",Sorcery,{3}{G}{U},5
Aether Poisoner,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Aether Poisoner enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Poisoner attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.",Creature — Human Artificer,{1}{B},2
Aether Rift,"At the beginning of your upkeep, discard a card at random. If you discard a creature card this way, return it from your graveyard to the battlefield unless any player pays 5 life.",Enchantment,{1}{R}{G},3
Aether Searcher,"Reveal Aether Searcher as you draft it. Reveal the next card you draft and note its name.
When Aether Searcher enters the battlefield, you may search your hand and/or library for a card with a name noted as you drafted cards named Aether Searcher. You may cast it without paying its mana cost. If you searched your library this way, shuffle it.",Artifact Creature — Construct,{7},7
Aether Shockwave,"Choose one —
• Tap all Spirits.
• Tap all non-Spirit creatures.",Instant,{3}{W},4
Aether Snap,Remove all counters from all permanents and exile all tokens.,Sorcery,{3}{B}{B},5
Aether Spellbomb,"{U}, Sacrifice Aether Spellbomb: Return target creature to its owner's hand.
{1}, Sacrifice Aether Spellbomb: Draw a card.",Artifact,{1},1
Aether Sting,"Whenever an opponent casts a creature spell, Aether Sting deals 1 damage to that player.",Enchantment,{3}{R},4
Aether Storm,"Creature spells can't be cast.
Pay 4 life: Destroy Aether Storm. It can't be regenerated. Any player may activate this ability.",Enchantment,{3}{U},4
Aether Swooper,"Flying
When Aether Swooper enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Swooper attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.",Creature — Vedalken Artificer,{1}{U},2
Aether Theorist,"When Aether Theorist enters the battlefield, you get {E}{E}{E} (three energy counters).
{T}, Pay {E}: Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)",Creature — Vedalken Rogue,{1}{U},2
Aether Tide,"As an additional cost to cast this spell, discard X creature cards.
Return X target creatures to their owners' hands.",Sorcery,{X}{U},1
Aether Tradewinds,Return target permanent you control and target permanent you don't control to their owners' hands.,Instant,{2}{U},3
Aether Tunnel,"Enchant creature
Enchanted creature gets +1/+0 and can't be blocked.",Enchantment — Aura,{1}{U},2
Aether Vial,"At the beginning of your upkeep, you may put a charge counter on Aether Vial.
{T}: You may put a creature card with converted mana cost equal to the number of charge counters on Aether Vial from your hand onto the battlefield.",Artifact,{1},1
Aether Web,"Flash (You may cast this spell any time you could cast an instant.)
Enchant creature
Enchanted creature gets +1/+1, has reach, and can block creatures with shadow as though they didn't have shadow. (Creatures with reach can block creatures with flying.)",Enchantment — Aura,{1}{G},2
Aetherborn Marauder,"Flying, lifelink
When Aetherborn Marauder enters the battlefield, move any number of +1/+1 counters from other permanents you control onto Aetherborn Marauder.",Creature — Aetherborn Rogue,{3}{B},4
Aetherflame Wall,"Defender
Aetherflame Wall can block creatures with shadow as though they didn't have shadow.
{R}: Aetherflame Wall gets +1/+0 until end of turn.",Creature — Wall,{1}{R},2
Aetherflux Reservoir,"Whenever you cast a spell, you gain 1 life for each spell you've cast this turn.
Pay 50 life: Aetherflux Reservoir deals 50 damage to any target.",Artifact,{4},4
Aethergeode Miner,"Whenever Aethergeode Miner attacks, you get {E}{E} (two energy counters).
Pay {E}{E}: Exile Aethergeode Miner, then return it to the battlefield under its owner's control.",Creature — Dwarf Scout,{1}{W},2
Aetherize,Return all attacking creatures to their owner's hand.,Instant,{3}{U},4
Aetherling,"{U}: Exile Aetherling. Return it to the battlefield under its owner's control at the beginning of the next end step.
{U}: Aetherling can't be blocked this turn.
{1}: Aetherling gets +1/-1 until end of turn.
{1}: Aetherling gets -1/+1 until end of turn.",Creature — Shapeshifter,{4}{U}{U},6
Aethermage's Touch,"Reveal the top four cards of your library. You may put a creature card from among them onto the battlefield. It gains ""At the beginning of your end step, return this creature to its owner's hand."" Then put the rest of the cards revealed this way on the bottom of your library in any order.",Instant,{2}{W}{U},4
Aetherplasm,"Whenever Aetherplasm blocks a creature, you may return Aetherplasm to its owner's hand. If you do, you may put a creature card from your hand onto the battlefield blocking that creature.",Creature — Illusion,{2}{U}{U},4
Aethershield Artificer,"At the beginning of combat on your turn, target artifact creature you control gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",Creature — Dwarf Artificer,{3}{W},4
Aethersnatch,"Gain control of target spell. You may choose new targets for it. (If that spell becomes a permanent, it enters the battlefield under your control.)",Instant,{4}{U}{U},6
Aethersnipe,"When Aethersnipe enters the battlefield, return target nonland permanent to its owner's hand.
Evoke {1}{U}{U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)",Creature — Elemental,{5}{U},6
Aethersphere Harvester,"Flying
When Aethersphere Harvester enters the battlefield, you get {E}{E} (two energy counters).
Pay {E}: Aethersphere Harvester gains lifelink until end of turn.
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",Artifact — Vehicle,{3},3
Aetherspouts,"For each attacking creature, its owner puts it on the top or bottom of their library.",Instant,{3}{U}{U},5
Aethersquall Ancient,"Flying
At the beginning of your upkeep, you get {E}{E}{E} (three energy counters).
Pay {E}{E}{E}{E}{E}{E}{E}{E}: Return all other creatures to their owners' hands. Activate this ability only any time you could cast a sorcery.",Creature — Leviathan,{5}{U}{U},7
Aetherstorm Roc,"Flying
Whenever Aetherstorm Roc or another creature enters the battlefield under your control, you get {E} (an energy counter).
Whenever Aetherstorm Roc attacks, you may pay {E}{E}. If you do, put a +1/+1 counter on it and tap up to one target creature defending player controls.",Creature — Bird,{2}{W}{W},4
Aetherstream Leopard,"Trample
When Aetherstream Leopard enters the battlefield, you get {E} (an energy counter).
Whenever Aetherstream Leopard attacks, you may pay {E}. If you do, it gets +2/+0 until end of turn.",Creature — Cat,{2}{G},3
Aethertide Whale,"Flying
When Aethertide Whale enters the battlefield, you get {E}{E}{E}{E}{E}{E} (six energy counters).
Pay {E}{E}{E}{E}: Return Aethertide Whale to its owner's hand.",Creature — Whale,{4}{U}{U},6
Aethertorch Renegade,"When Aethertorch Renegade enters the battlefield, you get {E}{E}{E}{E} (four energy counters).
{T}, Pay {E}{E}: Aethertorch Renegade deals 1 damage to target creature.
{T}, Pay {E}{E}{E}{E}{E}{E}{E}{E}: Aethertorch Renegade deals 6 damage to target player or planeswalker.",Creature — Human Rogue,{2}{R},3
Aethertow,"Put target attacking or blocking creature on top of its owner's library.
Conspire (As you cast this spell, you may tap two untapped creatures you control that share a color with it. When you do, copy it and you may choose a new target for the copy.)",Instant,{3}{W/U},4
Aetherwind Basker,"Trample
Whenever Aetherwind Basker enters the battlefield or attacks, you get {E} (an energy counter) for each creature you control.
Pay {E}: Aetherwind Basker gets +1/+1 until end of turn.",Creature — Lizard,{4}{G}{G}{G},7
Aetherworks Marvel,"Whenever a permanent you control is put into a graveyard, you get {E} (an energy counter).
{T}, Pay {E}{E}{E}{E}{E}{E}: Look at the top six cards of your library. You may cast a card from among them without paying its mana cost. Put the rest on the bottom of your library in a random order.",Legendary Artifact,{4},4
Affa Guard Hound,"Flash (You may cast this spell any time you could cast an instant.)
When Affa Guard Hound enters the battlefield, target creature gets +0/+3 until end of turn.",Creature — Hound,{2}{W},3
